Germany,"Dresden, Weimar, Landstuhl","Met with Chancellor Merkel, visited the Buchenwald concentration camp and 
visited wounded U.S. military personnel.","June 4–5, 2009",OBAMA
France,"Paris, Caen","Met with President Sarkozy and dedicated the new visitor center at the U.S. 
Military Cemetery in Normandy.","June 5–7, 2009",OBAMA
Russia,Moscow,Met with President Medvedev and Prime Minister Putin.,"July 6–8, 2009",OBAMA
Italy,"Rome, L’Aquila","Attended the G-8 Summit Meeting. Also met with the leaders of Angola, 
Algeria, Australia, Brazil, China, Egypt, India, Mexico, Nigeria, Senegal, 
South Africa, and various international organizations.","July 8–10, 2009",OBAMA
Vatican City,,Audience with Pope Benedict XVI.,"July 10, 2009",OBAMA
Ghana,"Accra, Cape Coast",Met with President Mills and addressed Parliament.,"July 10–11, 2009",OBAMA
Mexico,Guadalajara,Attended the North American Leaders’ Summit.,"August 9–10, 2009",OBAMA
Denmark,Copenhagen,"Addressed a session of the International Olympic Committee and met with 
Prime Minister Rasmussen.","October 2, 2009",OBAMA
Japan,Tokyo,Met with Emperor Akihito and Prime Minister Hatoyama.,"November 13–14, 2009",OBAMA
Singapore,Singapore,Attended the APEC Leaders’ Meeting.,"November 14–15, 2009",OBAMA
"China, People’s Republic of","Shanghai, Beijing","Met with President Hu, National People’s Congress Chairman Wu, and Premier 
Wen. Visited the Great Wall.","November 15–18, 2009",OBAMA
"Korea, Republic of","Osan, Seoul",Met with President Lee.,"November 18–19, 2009",OBAMA
Norway,Oslo,Met with King Harald V and Queen Sonja. Received the Nobel Peace Prize.,"December 10–11, 2009",OBAMA
Denmark,Copenhagen,Attended the UN Climate Change Conference.,"December 18, 2009",OBAMA
Afghanistan,"Kabul, Bagram",Met with President Karzai and addressed U.S. military personnel.,"March 28, 2010",OBAMA
Czech Republic,Prague,"Signed Strategic Arms Reduction Treaty with Russia. Also met with the 
Presidents of the Czech Republic, Estonia, Latvia, and Romania; and with 
the Prime Ministers of Bulgaria, Croatia, the Czech Republic, Hungary, 
Lithuania, Poland, Slovakia, and Slovenia.","April 8–9, 2010",OBAMA
Canada,"Muskoka, Toronto",Attended the G-8 and G-20 Economic Summit Meetings.,"June 25–27, 2010",OBAMA
India,"Mumbai, New Delhi","Attended U.S.-India Business and Entrepreneurship Summit in Mumbai. Met 
with Prime Minister Singh and President Patil. Addressed the Indian 
Parliament.","November 6–9, 2010",OBAMA
Indonesia,Jakarta,Met with President Yudhoyono.,"November 9–10, 2010",OBAMA
"Korea, Republic of",Seoul,Met with President Lee; attended the G-20 Summit Meeting.,"November 10–12, 2010",OBAMA
Japan,"Yokohama, Kamakura",Attended the Asia-Pacific Economic Cooperation’s CEO Summit Meetings.,"November 12–14, 2010",OBAMA
Portugal,Lisbon,Attended the NATO and U.S.-European Union Summit Meetings.,"November 19–20, 2010",OBAMA
Afghanistan,Bagram,"Met with the leaders of the U.S. military and diplomatic missions and 
visited U.S. military personnel.","December 3, 2010",OBAMA
Brazil,"Brasilia, Rio de Janeiro",Met with President Roussef.,"March 19–21, 2011",OBAMA
Chile,Santiago,Met with President Pinera.,"March 21–22, 2011",OBAMA
El Salvador,San Salvador,Met with President Funes.,"March 22–23, 2011",OBAMA
Ireland,"Dublin, Farmleigh, Moneygall","Met with President McAleese and Prime Minister Kenny. Visited ancestral 
home.","May 23, 2011",OBAMA
United Kingdom,London,"Met with Queen Elizabeth II, Prime Minister Cameron, and Labour Party 
leader Miliband.","May 23–26, 2011",OBAMA
France,"Deauville, Paris",Attended the G-8 Economic Summit.,"May 26–27, 2011",OBAMA
Poland,Warsaw,Met with President Komorowski and Prime Minister Tusk.,"May 27–28, 2011",OBAMA
France,Cannes,Attended the G-20 Summit Meeting.,"November 3–4, 2011",OBAMA
Australia,"Canberra, Darwin","Met with Prime Minister Gillard. Announced a new military cooperation 
agreement.","November 16–17, 2011",OBAMA
Indonesia,Bali,Attended the ASEAN and East Asia Summit Meetings.,"November 17–20, 2011",OBAMA
"Korea, Republic of",Seoul,"Attended the Nuclear Security Summit. Met with President Lee Myung-bak and 
visited the Demilitarized Zone.","March 25–27, 2012",OBAMA
Colombia,Cartagena,Attended the Summit of the Americas.,"April 13–15, 2012",OBAMA
Afghanistan,Kabul,"Met with President Karzai and addressed U.S. military personnel. Signed a 
long-term strategic partnership agreement.","May 1–2, 2012",OBAMA
Mexico,Cabo San Lucas,Attended the G-20 Economic Summit meeting.,"June 17–19, 2012",OBAMA
Thailand,Bangkok,Met with King Bhumibol Adulyadej and Prime Minister Yingluck Shinawatra.,"November 18–19, 2012",OBAMA
Burma,Rangoon,"Met with President Thein Sein, National League for Democracy leader Aung 
San Suu Kyi, and representatives of Burmese civil society.","November 19, 2012",OBAMA
Cambodia,Phnom Penh,"Met with Prime Minister Hun Sen and a U.S.-ASEAN Leaders’ meeting, a 
Trans-Pacific Partnership meeting, and the East Asia Summit meeting.","November 19, 2012",OBAMA
Israel,"Tel Aviv, Jerusalem",Met with President Shimon Peres and Prime Minister Benjamin Netanyahu.,"March 20–22, 2013",OBAMA
Palestinian Authority,"Ramallah, Al-Bireh, Bethlehem",Met with President Mahmoud Abbas.,"March 21–22, 2013",OBAMA
Jordan,"Amman, Petra",Met with King Abdullah II.,"March 22–24, 2013",OBAMA
Mexico,Mexico City,Met with President Enrique Pena Nieto.,"May 2–3, 2013",OBAMA
Costa Rica,San Jose,"Met with President Laura Chinchilla and leaders of the Central American 
Integration System.","May 3–4, 2013",OBAMA
United Kingdom (Northern Ireland),"Belfast, Enniskillen",Attended the G-8 Economic Summit Meeting.,"June 16–18, 2013",OBAMA
Germany,Berlin,Met with President Joachim Gauck and Chancellor Angela Merkel.,"June 18–19, 2013",OBAMA
Senegal,Dakar,Met with President Macky Sall.,"June 26–28, 2013",OBAMA
South Africa,"Johannesburg, Pretoria, Cape Town","Met with President Jacob Zuma and with members of the Mandela family. 
Visited Robben Island.","June 28–July 1, 2013",OBAMA
Tanzania,Dar es Salaam,"Met with President Jakaya Kikwete. Laid a wreath at the memorial to the 
1998 Embassy bombing.","July 1–2, 2013",OBAMA
Senegal,Dakar,Stopped during return to Washington.,"July 2, 2013",OBAMA
Sweden,Stockholm,Met with King Carl XVI Gustaf and Prime Minister John Fredrik Reinfeldt.,"September 4–5, 2013",OBAMA
Russia,St. Petersburg,Attended the G-20 Economic Summit.,"September 5–6, 2013",OBAMA
South Africa,Johannesburg,Attended memorial service for former President Nelson Mandela.,"September 5–6, 2013",OBAMA
Mexico,Toluca,Attended the North American Leaders Summit.,"February 14, 2014",OBAMA
Netherlands,"The Hague, Amsterdam","Attended the World Forum the Nuclear Security Summit, and a G-7 meeting on 
the Ukrainian crisis. Met with King Willem-Alexander and President 
Nursultan Nazarbayev of Kazakhstan.","March 24–25, 2014",OBAMA
